"RK",TIERS,"PLAYER NAME",TEAM,"BEST","WORST","AVG.","STD.DEV"
"179",11,"Artavis Pierce",CHI,"130","163","146.0","13.5"
"180",11,"Matthew Tucker",FA,"122","132","127.0","5.0"
"181",11,"C.J. Prosise",TB,"141","158","147.3","7.6"
"182",11,"Ben Mason",BAL,"127","128","127.5","0.5"
"183",11,"Khalfani Muhammad",ARI,"140","168","149.3","13.2"
"184",11,"LeVante Bellamy",DEN,"128","134","131.0","3.0"
"185",11,"Buddy Howell",HOU,"144","154","150.7","4.7"
"186",11,"Damarea Crockett",DEN,"133","137","135.0","2.0"
"187",11,"Dontrell Hilliard",HOU,"149","156","153.0","2.9"
"188",11,"John Kelly",CLE,"141","164","154.7","9.9"
"189",11,"Michael Warren II",DET,"139","166","155.3","11.7"
"190",12,"Sewo Olonilua",DAL,"139","147","143.0","4.0"
"191",12,"Ty'Son Williams",BAL,"145","166","158.7","9.7"
"192",12,"Jonathan Ward",FA,"144","152","148.0","4.0"
"193",12,"Patrick Taylor Jr.",GB,"147","156","151.5","4.5"
"194",12,"Tavien Feaster",ARI,"151","152","151.5","0.5"
"195",12,"Darius Bradwell",LAC,"120","185","152.5","32.5"
"196",12,"Brandon Bolden",NE,"148","193","173.0","17.2"
"197",12,"Tony Jones Jr.",NO,"140","185","169.0","20.5"
"198",12,"Adam Prentice",DEN,"146","174","160.0","14.0"
"199",12,"Johnny Stanton",CLE,"158","162","160.0","2.0"
"200",12,"Taiwan Jones",BUF,"143","178","160.5","17.5"
"201",12,"Jonathan Williams",WAS,"162","163","162.5","0.5"
"202",12,"Jason Huntley",PHI,"143","188","165.5","22.5"
"203",12,"Alfred Morris",NYG,"163","170","166.5","3.5"
"204",12,"Nate McCrary",BAL,"164","176","170.0","6.0"
"205",12,"Deon Jackson",IND,"168","180","174.0","6.0"
"206",12,"Adrian Killins Jr.",PHI,"172","178","175.0","3.0"
"207",12,"Nathan Cottrell",JAC,"174","177","175.5","1.5"
"208",12,"Taquan Mizzell",NYG,"176","181","178.5","2.5"
"209",12,"Sandro Platzgummer",NYG,"183","184","183.5","0.5"
"210",12,"Derrick Gore",KC,"180","195","187.5","7.5"
"211",12,"Tyler Gaffney",NE,"186","199","192.5","6.5"
"212",12,"Trey Edmunds",PIT,"187","201","194.0","7.0"
