"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"445",15,"Travis Homer",SEA,"RB126","264","388","342.6","45.7"
"446",15,"D'Onta Foreman",TEN,"RB127","272","329","306.0","24.5"
"447",15,"Trenton Cannon",CAR,"RB128","199","322","260.5","61.5"
"448",15,"Kenny Stills",BUF,"WR146","301","386","352.5","23.1"
"449",15,"Jeremy McNichols",TEN,"RB129","255","392","333.3","50.7"
"450",15,"Jaret Patterson",WAS,"RB130","186","376","356.7","21.2"
"451",15,"Olabisi Johnson",MIN,"WR147","262","379","336.3","46.5"
"452",15,"Tommy Tremble",CAR,"TE63","142","374","348.6","19.1"
"453",16,"Alec Ingold",LV,"RB131","274","283","278.5","4.5"
"454",16,"Kelvin Harmon",WAS,"WR148","261","389","320.7","52.6"
"455",16,"Mohamed Sanu",SF,"WR149","270","384","321.7","47.1"
"456",16,"Ihmir Smith-Marsette",MIN,"WR150","184","384","352.2","30.4"
"457",16,"C.J. Ham",MIN,"RB132","286","393","322.7","49.8"
"458",16,"Jace Sternberger",GB,"TE64","294","394","366.1","19.0"
"459",16,"Patrick Ricard",BAL,"RB133","267","310","288.5","21.5"
"460",16,"Kahale Warring",HOU,"TE65","342","400","371.0","17.4"
"461",16,"Isaiah McKenzie",BUF,"WR151","301","359","331.0","23.7"
"462",16,"Willie Snead IV",LV,"WR152","293","378","359.0","17.4"
"463",16,"Jaelon Darden",TB,"WR153","307","358","333.7","20.9"
"464",16,"Tyler Kroft",NYJ,"TE66","305","387","350.0","30.5"
"465",16,"Tamorrion Terry",SEA,"WR154","298","373","351.5","31.0"
"466",16,"Kenny Yeboah",NYJ,"TE67","267","353","310.0","43.0"
"467",16,"Ameer Abdullah",MIN,"RB134","313","397","354.5","40.0"
"468",16,"Marcus Mariota",LV,"QB44","314","387","354.5","28.9"
"469",16,"Dion Lewis",NYG,"RB135","330","390","363.8","19.7"
"470",16,"Jakob Johnson",NE,"RB136","295","331","313.0","18.0"
"471",16,"Frank Darby",ATL,"WR155","280","377","341.7","43.8"
"472",16,"Darren Fells",DET,"TE68","305","391","370.2","15.3"
"473",16,"Trey Burton",IND,"TE69","325","394","365.6","23.6"
"474",16,"Sage Surratt",DET,"WR156","268","368","318.0","50.0"
"475",16,"Isaiah Coulter",HOU,"WR157","286","398","352.3","48.0"
"476",16,"Nick Boyle",BAL,"TE70","349","374","363.8","9.8"
"477",16,"Kylen Granson",IND,"TE71","346","391","375.2","14.0"
"478",16,"Adam Shaheen",MIA,"TE72","326","334","330.0","4.0"
"479",16,"Josh Oliver",BAL,"TE73","349","381","371.0","8.7"
"480",16,"Nick Vannett",NO,"TE74","305","363","334.0","29.0"
"481",16,"Devonta Freeman",BUF,"RB137","357","395","373.2","15.2"
"482",16,"Chad Beebe",MIN,"WR158","351","401","368.3","20.2"
"483",16,"Andrew Jacas",SF,"K38","339","346","342.5","3.5"
"484",16,"Shi Smith",CAR,"WR159","328","386","361.0","24.3"
"485",16,"Alex Armah",NO,"RB138","337","351","344.0","7.0"
"486",16,"Jacoby Brissett",MIA,"QB45","316","391","364.7","34.5"
"487",16,"Hunter Bryant",DET,"TE75","346","402","366.0","25.5"
"488",16,"Gary Brightwell",NYG,"RB139","337","380","365.7","20.3"
"489",16,"Michael Burton",KC,"RB140","333","368","350.5","17.5"
"490",16,"Damiere Byrd",CHI,"WR160","357","377","369.0","8.6"
"491",16,"Cedrick Wilson",DAL,"WR161","364","377","370.7","5.3"
"492",16,"Demetric Felton",CLE,"WR162","333","405","373.0","29.9"
"493",16,"Albert Wilson",MIA,"WR163","320","395","357.5","37.5"
"494",16,"Phillip Walker",CAR,"QB46","343","380","361.5","18.5"
"495",16,"Freddie Swain",SEA,"WR164","350","399","374.7","20.0"
"496",16,"Quez Watkins",PHI,"WR165","349","404","381.8","20.3"
"497",16,"Trey Ragas",LV,"RB141","365","388","374.7","9.7"
"498",16,"Ross Dwelley",SF,"TE76","350","381","365.5","15.5"
"499",16,"Blake Bell",KC,"TE77","360","389","376.7","12.2"
"500",16,"Marquez Stevenson",BUF,"WR166","365","406","382.7","17.2"
"501",16,"Josiah Deguara",GB,"TE78","363","391","380.7","12.6"
"502",16,"J.J. Arcega-Whiteside",PHI,"WR167","349","403","376.0","27.0"
"503",16,"Seth Williams",DEN,"WR168","369","380","374.5","5.5"
"504",16,"Braxton Berrios",NYJ,"WR169","360","390","375.0","15.0"
"505",16,"D'Ernest Johnson",CLE,"RB142","365","387","376.0","11.0"
"506",16,"Phillip Dorsett II",JAC,"WR170","370","390","380.0","10.0"
"507",16,"Kyle Allen",WAS,"QB47","374","387","380.5","6.5"
"508",16,"Rodney Smith",CAR,"RB143","386","386","386.0","0.0"
"509",16,"Jake Funk",LAR,"RB144","380","393","386.5","6.5"
